Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E0,23/11/2019,Watford,Burnley,0,3
E0,23/11/2019,Man City,Chelsea,2,1
E0,24/11/2019,Sheffield United,Man United,3,3
E0,25/11/2019,Aston Villa,Newcastle,2,0
E0,30/11/2019,Newcastle,Man City,2,2
E0,30/11/2019,Burnley,Crystal Palace,0,2
E0,30/11/2019,Chelsea,West Ham,0,1
E0,30/11/2019,Liverpool,Brighton,2,1
E0,30/11/2019,Tottenham,Bournemouth,3,2
E0,30/11/2019,Southampton,Watford,2,1
E0,01/12/2019,Norwich,Arsenal,2,2
E0,01/12/2019,Wolves,Sheffield United,1,1
E0,01/12/2019,Leicester,Everton,2,1
E0,01/12/2019,Man United,Aston Villa,2,2
E0,03/12/2019,Crystal Palace,Bournemouth,1,0
E0,03/12/2019,Burnley,Man City,1,4
E0,04/12/2019,Chelsea,Aston Villa,2,1
E0,04/12/2019,Leicester,Watford,2,0
E0,04/12/2019,Man United,Tottenham,2,1
E0,04/12/2019,Southampton,Norwich,2,1
E0,04/12/2019,Wolves,West Ham,2,0
E0,04/12/2019,Liverpool,Everton,5,2
E0,05/12/2019,Sheffield United,Newcastle,0,2
E0,05/12/2019,Arsenal,Brighton,1,2
E0,07/12/2019,Everton,Chelsea,3,1
E0,07/12/2019,Bournemouth,Liverpool,0,3
E0,07/12/2019,Tottenham,Burnley,5,0
E0,07/12/2019,Watford,Crystal Palace,0,0
E0,07/12/2019,Man City,Man United,1,2
E0,08/12/2019,Aston Villa,Leicester,1,4
E0,08/12/2019,Newcastle,Southampton,2,1
E0,08/12/2019,Norwich,Sheffield United,1,2
E0,08/12/2019,Brighton,Wolves,2,2
E0,09/12/2019,West Ham,Arsenal,1,3
E0,14/12/2019,Liverpool,Watford,2,0
E0,14/12/2019,Burnley,Newcastle,1,0
E0,14/12/2019,Chelsea,Bournemouth,0,1
E0,14/12/2019,Leicester,Norwich,1,1
E0,14/12/2019,Sheffield United,Aston Villa,2,0
E0,14/12/2019,Southampton,West Ham,0,1
E0,15/12/2019,Man United,Everton,1,1
