Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E0,2019-11-23,Watford,Burnley,0,3
E0,2019-11-23,Man City,Chelsea,2,1
E0,2019-11-24,Sheffield United,Man United,3,3
E0,2019-11-25,Aston Villa,Newcastle,2,0
E0,2019-11-30,Newcastle,Man City,2,2
E0,2019-11-30,Burnley,Crystal Palace,0,2
E0,2019-11-30,Chelsea,West Ham,0,1
E0,2019-11-30,Liverpool,Brighton,2,1
E0,2019-11-30,Tottenham,Bournemouth,3,2
E0,2019-11-30,Southampton,Watford,2,1
E0,2019-12-01,Norwich,Arsenal,2,2
E0,2019-12-01,Wolves,Sheffield United,1,1
E0,2019-12-01,Leicester,Everton,2,1
E0,2019-12-01,Man United,Aston Villa,2,2
E0,2019-12-03,Crystal Palace,Bournemouth,1,0
E0,2019-12-03,Burnley,Man City,1,4
E0,2019-12-04,Chelsea,Aston Villa,2,1
E0,2019-12-04,Leicester,Watford,2,0
E0,2019-12-04,Man United,Tottenham,2,1
E0,2019-12-04,Southampton,Norwich,2,1
E0,2019-12-04,Wolves,West Ham,2,0
E0,2019-12-04,Liverpool,Everton,5,2
E0,2019-12-05,Sheffield United,Newcastle,0,2
E0,2019-12-05,Arsenal,Brighton,1,2
E0,2019-12-07,Everton,Chelsea,3,1
E0,2019-12-07,Bournemouth,Liverpool,0,3
E0,2019-12-07,Tottenham,Burnley,5,0
E0,2019-12-07,Watford,Crystal Palace,0,0
E0,2019-12-07,Man City,Man United,1,2
E0,2019-12-08,Aston Villa,Leicester,1,4
E0,2019-12-08,Newcastle,Southampton,2,1
E0,2019-12-08,Norwich,Sheffield United,1,2
E0,2019-12-08,Brighton,Wolves,2,2
E0,2019-12-09,West Ham,Arsenal,1,3
E0,2019-12-14,Liverpool,Watford,2,0
E0,2019-12-14,Burnley,Newcastle,1,0
E0,2019-12-14,Chelsea,Bournemouth,0,1
E0,2019-12-14,Leicester,Norwich,1,1
E0,2019-12-14,Sheffield United,Aston Villa,2,0
E0,2019-12-14,Southampton,West Ham,0,1
E0,2019-12-15,Man United,Everton,1,1
E0,2019-12-15,Wolves,Tottenham,1,2
E0,2019-12-15,Arsenal,Man City,0,3
E0,2019-12-16,Crystal Palace,Brighton,1,1
E0,2019-12-21,Everton,Arsenal,0,0
E0,2019-12-21,Aston Villa,Southampton,1,3
E0,2019-12-21,Bournemouth,Burnley,0,1
E0,2019-12-21,Brighton,Sheffield United,0,1
E0,2019-12-21,Newcastle,Crystal Palace,1,0
E0,2019-12-21,Norwich,Wolves,1,2
E0,2019-12-21,Man City,Leicester,3,1
E0,2019-12-22,Watford,Man United,2,0
E0,2019-12-22,Tottenham,Chelsea,0,2
E0,2019-12-26,Tottenham,Brighton,2,1
E0,2019-12-26,Aston Villa,Norwich,1,0
E0,2019-12-26,Bournemouth,Arsenal,1,1
E0,2019-12-26,Chelsea,Southampton,0,2
E0,2019-12-26,Crystal Palace,West Ham,2,1
E0,2019-12-26,Everton,Burnley,1,0
E0,2019-12-26,Sheffield United,Watford,1,1
E0,2019-12-26,Man United,Newcastle,4,1
E0,2019-12-26,Leicester,Liverpool,0,4
E0,2019-12-27,Wolves,Man City,3,2
E0,2019-12-28,Brighton,Bournemouth,2,0
E0,2019-12-28,Newcastle,Everton,1,2
E0,2019-12-28,Southampton,Crystal Palace,1,1
E0,2019-12-28,Watford,Aston Villa,3,0
E0,2019-12-28,Norwich,Tottenham,2,2
E0,2019-12-28,West Ham,Leicester,1,2
E0,2019-12-28,Burnley,Man United,0,2
E0,2019-12-29,Arsenal,Chelsea,1,2
E0,2019-12-29,Liverpool,Wolves,1,0
E0,2019-12-29,Man City,Sheffield United,2,0
E0,2020-01-01,Brighton,Chelsea,1,1
E0,2020-01-01,Burnley,Aston Villa,1,2
E0,2020-01-01,Newcastle,Leicester,0,3
E0,2020-01-01,Southampton,Tottenham,1,0
E0,2020-01-01,Watford,Wolves,2,1
E0,2020-01-01,Man City,Everton,2,1
E0,2020-01-01,Norwich,Crystal Palace,1,1
E0,2020-01-01,West Ham,Bournemouth,4,0
E0,2020-01-01,Arsenal,Man United,2,0
E0,2020-01-02,Liverpool,Sheffield United,2,0
E0,2020-01-10,Sheffield United,West Ham,1,0
E0,2020-01-11,Crystal Palace,Arsenal,1,1
E0,2020-01-11,Chelsea,Burnley,3,0
E0,2020-01-11,Everton,Brighton,1,0
E0,2020-01-11,Leicester,Southampton,1,2
E0,2020-01-11,Man United,Norwich,4,0
E0,2020-01-11,Wolves,Newcastle,1,1
E0,2020-01-11,Tottenham,Liverpool,0,1
E0,2020-01-12,Bournemouth,Watford,0,3
E0,2020-01-12,Aston Villa,Man City,1,6
E0,2020-01-18,Watford,Tottenham,0,0
E0,2020-01-18,Arsenal,Sheffield United,1,1
E0,2020-01-18,Brighton,Aston Villa,1,1
E0,2020-01-18,Man City,Crystal Palace,2,2
E0,2020-01-18,Norwich,Bournemouth,1,0
E0,2020-01-18,Southampton,Wolves,2,3
E0,2020-01-18,West Ham,Everton,1,1
E0,2020-01-18,Newcastle,Chelsea,1,0
E0,2020-01-19,Burnley,Leicester,2,1
E0,2020-01-19,Liverpool,Man United,2,0
E0,2020-01-21,Aston Villa,Watford,2,1
E0,2020-01-21,Bournemouth,Brighton,3,1
E0,2020-01-21,Crystal Palace,Southampton,0,2
E0,2020-01-21,Everton,Newcastle,2,2
E0,2020-01-21,Sheffield United,Man City,0,1
E0,2020-01-21,Chelsea,Arsenal,2,2
E0,2020-01-22,Leicester,West Ham,4,1
E0,2020-01-22,Tottenham,Norwich,2,1
E0,2020-01-22,Man United,Burnley,0,2
E0,2020-01-23,Wolves,Liverpool,1,2
E0,2020-01-29,West Ham,Liverpool,0,2
E0,2020-02-01,Leicester,Chelsea,2,2
E0,2020-02-01,Bournemouth,Aston Villa,2,1
E0,2020-02-01,Crystal Palace,Sheffield United,0,1
E0,2020-02-01,Liverpool,Southampton,4,0
E0,2020-02-01,Newcastle,Norwich,0,0
E0,2020-02-01,Watford,Everton,2,3
E0,2020-02-01,West Ham,Brighton,3,3
E0,2020-02-01,Man United,Wolves,0,0
E0,2020-02-02,Burnley,Arsenal,0,0
E0,2020-02-02,Tottenham,Man City,2,0
E0,2020-02-08,Everton,Crystal Palace,3,1
E0,2020-02-08,Brighton,Watford,1,1
E0,2020-02-09,Sheffield United,Bournemouth,2,1
E0,2020-02-14,Wolves,Leicester,0,0
E0,2020-02-15,Southampton,Burnley,1,2
E0,2020-02-15,Norwich,Liverpool,0,1
E0,2020-02-16,Aston Villa,Tottenham,2,3
E0,2020-02-16,Arsenal,Newcastle,4,0
E0,2020-02-17,Chelsea,Man United,0,2
E0,2020-02-19,Man City,West Ham,2,0
E0,2020-02-22,Chelsea,Tottenham,2,1
E0,2020-02-22,Burnley,Bournemouth,3,0
E0,2020-02-22,Crystal Palace,Newcastle,1,0
E0,2020-02-22,Sheffield United,Brighton,1,1
E0,2020-02-22,Southampton,Aston Villa,2,0
E0,2020-02-22,Leicester,Man City,0,1
E0,2020-02-23,Man United,Watford,3,0
E0,2020-02-23,Wolves,Norwich,3,0
E0,2020-02-23,Arsenal,Everton,3,2
E0,2020-02-24,Liverpool,West Ham,3,2
E0,2020-02-28,Norwich,Leicester,1,0
E0,2020-02-29,Brighton,Crystal Palace,0,1
E0,2020-02-29,Bournemouth,Chelsea,2,2
E0,2020-02-29,Newcastle,Burnley,0,0
E0,2020-02-29,West Ham,Southampton,3,1
E0,2020-02-29,Watford,Liverpool,3,0
E0,2020-03-01,Everton,Man United,1,1
E0,2020-03-01,Tottenham,Wolves,2,3
E0,2020-03-07,Liverpool,Bournemouth,2,1
E0,2020-03-07,Arsenal,West Ham,1,0
E0,2020-03-07,Crystal Palace,Watford,1,0
E0,2020-03-07,Sheffield United,Norwich,1,0
E0,2020-03-07,Southampton,Newcastle,0,1
E0,2020-03-07,Wolves,Brighton,0,0
E0,2020-03-07,Burnley,Tottenham,1,1
E0,2020-03-08,Chelsea,Everton,4,0
E0,2020-03-08,Man United,Man City,2,0
E0,2020-03-09,Leicester,Aston Villa,4,0
E0,2020-06-17,Aston Villa,Sheffield United,0,0
E0,2020-06-17,Man City,Arsenal,3,0
E0,2020-06-19,Norwich,Southampton,0,3
E0,2020-06-19,Tottenham,Man United,1,1
E0,2020-06-20,Watford,Leicester,1,1
E0,2020-06-20,Brighton,Arsenal,2,1
E0,2020-06-20,West Ham,Wolves,0,2
E0,2020-06-20,Bournemouth,Crystal Palace,0,2
E0,2020-06-21,Newcastle,Sheffield United,3,0
E0,2020-06-21,Aston Villa,Chelsea,1,2
E0,2020-06-21,Everton,Liverpool,0,0
E0,2020-06-22,Man City,Burnley,5,0
E0,2020-06-23,Leicester,Brighton,0,0
E0,2020-06-23,Tottenham,West Ham,2,0
E0,2020-06-24,Man United,Sheffield United,3,0
E0,2020-06-24,Newcastle,Aston Villa,1,1
E0,2020-06-24,Norwich,Everton,0,1
E0,2020-06-24,Wolves,Bournemouth,1,0
E0,2020-06-24,Liverpool,Crystal Palace,4,0
E0,2020-06-25,Burnley,Watford,1,0
E0,2020-06-25,Southampton,Arsenal,0,2
E0,2020-06-25,Chelsea,Man City,2,1
E0,2020-06-27,Aston Villa,Wolves,0,1
E0,2020-06-28,Watford,Southampton,1,3
E0,2020-06-29,Crystal Palace,Burnley,0,1
E0,2020-06-30,Brighton,Man United,0,3
E0,2020-07-01,Arsenal,Norwich,4,0
E0,2020-07-01,Bournemouth,Newcastle,1,4
E0,2020-07-01,Everton,Leicester,2,1
E0,2020-07-01,West Ham,Chelsea,3,2
E0,2020-07-02,Sheffield United,Tottenham,3,1
E0,2020-07-02,Man City,Liverpool,4,0
E0,2020-07-04,Norwich,Brighton,0,1
E0,2020-07-04,Leicester,Crystal Palace,3,0
E0,2020-07-04,Man United,Bournemouth,5,2
E0,2020-07-04,Wolves,Arsenal,0,2
E0,2020-07-04,Chelsea,Watford,3,0
E0,2020-07-05,Burnley,Sheffield United,1,1
E0,2020-07-05,Newcastle,West Ham,2,2
E0,2020-07-05,Liverpool,Aston Villa,2,0
E0,2020-07-05,Southampton,Man City,1,0
E0,2020-07-06,Tottenham,Everton,1,0
E0,2020-07-07,Crystal Palace,Chelsea,2,3
E0,2020-07-07,Watford,Norwich,2,1
E0,2020-07-07,Arsenal,Leicester,1,1
E0,2020-07-08,Man City,Newcastle,5,0
E0,2020-07-08,Sheffield United,Wolves,1,0
E0,2020-07-08,West Ham,Burnley,0,1
E0,2020-07-08,Brighton,Liverpool,1,3
E0,2020-07-09,Bournemouth,Tottenham,0,0
E0,2020-07-09,Everton,Southampton,1,1
E0,2020-07-09,Aston Villa,Man United,0,3
E0,2020-07-11,Norwich,West Ham,0,4
E0,2020-07-11,Watford,Newcastle,2,1
E0,2020-07-11,Liverpool,Burnley,1,1
E0,2020-07-11,Sheffield United,Chelsea,3,0
E0,2020-07-11,Brighton,Man City,0,5
E0,2020-07-12,Wolves,Everton,3,0
E0,2020-07-12,Aston Villa,Crystal Palace,2,0
E0,2020-07-12,Tottenham,Arsenal,2,1
E0,2020-07-12,Bournemouth,Leicester,4,1
E0,2020-07-13,Man United,Southampton,2,2
E0,2020-07-14,Chelsea,Norwich,1,0
E0,2020-07-15,Burnley,Wolves,1,1
E0,2020-07-15,Man City,Bournemouth,2,1
E0,2020-07-15,Newcastle,Tottenham,1,3
E0,2020-07-15,Arsenal,Liverpool,2,1
E0,2020-07-16,Everton,Aston Villa,1,1
E0,2020-07-16,Leicester,Sheffield United,2,0
E0,2020-07-16,Crystal Palace,Man United,0,2
E0,2020-07-16,Southampton,Brighton,1,1
E0,2020-07-17,West Ham,Watford,3,1
E0,2020-07-18,Norwich,Burnley,0,2
E0,2020-07-19,Bournemouth,Southampton,0,2
E0,2020-07-19,Tottenham,Leicester,3,0
E0,2020-07-20,Brighton,Newcastle,0,0
E0,2020-07-20,Sheffield United,Everton,0,1
E0,2020-07-20,Wolves,Crystal Palace,2,0
E0,2020-07-21,Watford,Man City,0,4
E0,2020-07-21,Aston Villa,Arsenal,1,0
E0,2020-07-22,Man United,West Ham,1,1
E0,2020-07-22,Liverpool,Chelsea,5,3
E0,2020-07-26,Arsenal,Watford,3,2
E0,2020-07-26,Burnley,Brighton,1,2
E0,2020-07-26,Chelsea,Wolves,2,0
E0,2020-07-26,Crystal Palace,Tottenham,1,1
E0,2020-07-26,Everton,Bournemouth,1,3
E0,2020-07-26,Leicester,Man United,0,2
E0,2020-07-26,Man City,Norwich,5,0
E0,2020-07-26,Newcastle,Liverpool,1,3
E0,2020-07-26,Southampton,Sheffield United,3,1
E0,2020-07-26,West Ham,Aston Villa,1,1
E2,2019-08-03,AFC Wimbledon,Rotherham,1,2
E2,2019-08-03,Blackpool,Bristol Rvs,2,0
E2,2019-08-03,Burton,Ipswich,0,1
E2,2019-08-03,Coventry,Southend,1,0
E2,2019-08-03,Doncaster,Gillingham,1,1
E2,2019-08-03,Lincoln,Accrington,2,0
E2,2019-08-03,Peterboro,Fleetwood Town,1,3
E2,2019-08-03,Shrewsbury,Portsmouth,1,0
E2,2019-08-03,Sunderland,Oxford,1,1
E2,2019-08-03,Tranmere,Rochdale,2,3
E2,2019-08-03,Wycombe,Bolton,2,0
E2,2019-08-10,Bolton,Coventry,0,0
E2,2019-08-10,Bristol Rvs,Wycombe,0,0
E2,2019-08-10,Fleetwood Town,AFC Wimbledon,2,1
E2,2019-08-10,Gillingham,Burton,1,2
E2,2019-08-10,Ipswich,Sunderland,1,1
E2,2019-08-10,Milton Keynes Dons,Shrewsbury,1,0
E2,2019-08-10,Oxford,Peterboro,1,0
E2,2019-08-10,Portsmouth,Tranmere,2,0
E2,2019-08-10,Rochdale,Doncaster,1,1
E2,2019-08-10,Rotherham,Lincoln,0,2
E2,2019-08-10,Southend,Blackpool,1,3
E2,2019-08-17,Sunderland,Portsmouth,2,1
E2,2019-08-17,AFC Wimbledon,Accrington,1,1
E2,2019-08-17,Blackpool,Oxford,2,1
E2,2019-08-17,Burton,Rotherham,0,1
E2,2019-08-17,Coventry,Bristol Rvs,2,0
E2,2019-08-17,Doncaster,Fleetwood Town,3,2
E2,2019-08-17,Lincoln,Southend,4,0
E2,2019-08-17,Peterboro,Ipswich,2,2
E2,2019-08-17,Shrewsbury,Rochdale,0,0
E2,2019-08-17,Tranmere,Bolton,5,0
E2,2019-08-17,Wycombe,Milton Keynes Dons,3,2
E2,2019-08-20,Accrington,Shrewsbury,2,3
E2,2019-08-20,Bristol Rvs,Tranmere,2,0
E2,2019-08-20,Fleetwood Town,Wycombe,1,1
E2,2019-08-20,Gillingham,Blackpool,2,2
E2,2019-08-20,Ipswich,AFC Wimbledon,2,1
E2,2019-08-20,Milton Keynes Dons,Lincoln,2,1
E2,2019-08-20,Oxford,Burton,2,4
E2,2019-08-20,Portsmouth,Coventry,3,3
E2,2019-08-20,Rochdale,Sunderland,1,2
E2,2019-08-20,Southend,Peterboro,0,2
E2,2019-08-24,Doncaster,Lincoln,2,1
E2,2019-08-24,Bolton,Ipswich,0,5
E2,2019-08-24,Bristol Rvs,Oxford,3,1
E2,2019-08-24,Coventry,Gillingham,1,0
E2,2019-08-24,Fleetwood Town,Accrington,2,0
E2,2019-08-24,Milton Keynes Dons,Peterboro,0,4
E2,2019-08-24,Rochdale,Blackpool,0,0
E2,2019-08-24,Shrewsbury,Burton,0,0
E2,2019-08-24,Sunderland,AFC Wimbledon,3,1
